"Section","File","OldTitle","NewTitle","CircaYearFound","DateBefore","DateAfter","PageChanged","TitleChanged","DateChanged","IndexChanged","RemainingMojibakeWarning"
"murals","jersey-city-mural-festival-2021.html","Jersey City Mural Festival","","","2021 (June 5âÃ¢â€š¬Ã¢â‚¬Å“6)","2021 (June 5âÃ¢â€š¬Ã¢â‚¬Å“6)","Yes","No","No","No","Yes"
"murals","jessica-rabbit.html","Jessica Rabbit's Revenge","","","âÃ¢â€š¬Ã¢â‚¬","âÃ¢â€š¬Ã¢â‚¬","Yes","No","No","No","Yes"
"murals","k11-musea-2019.html","K11 Musea","","","2019","2019","Yes","No","No","No","Yes"
"murals","last-supper-delusionville-2021.html","Last Supper, Delusionville","","","2021 (December)","2021 (December)","Yes","No","No","No","Yes"
"murals","lccc-dc-2022.html","LCCC, DC","","","2022 (March 4)","2022 (March 4)","Yes","No","No","No","Yes"
"murals","lpg-2012.html","London Pleasure Garden","","","2012","2012","Yes","No","No","No","Yes"
"murals","magic-city-dresden-2016.html","Magic City, Dresden","","","2016","2016","Yes","No","No","No","Yes"
"murals","manhattan-runners-2017.html","Manhattan Runners","","","2017","2017","Yes","No","No","No","Yes"
"murals","medicine-agency-2009.html","Medicine Agency","","","2009","2009","Yes","No","No","No","Yes"
"murals","miami-marine-stadium-2014.html","Miami Marine Stadium","","","2014","2014","Yes","No","No","No","Yes"
"murals","miami-popmart-2019.html","Miami PopMart","","","2019","2019","Yes","No","No","No","Yes"
"murals","milan-yin-yang.html","Yin Yang Mural in Milan, circa","Yin Yang Mural in Milan","","âÃ¢â€š¬Ã¢â‚¬","âÃ¢â€š¬Ã¢â‚¬","Yes","Yes","No","Yes","Yes"
"murals","mindstyle-china-2015.html","Mindstyle, China","","","2015","2015","Yes","No","No","No","Yes"
"murals","mousemask-temper-rome-2013.html","Mousemask and Temper, Rome","","","2013","2013","Yes","No","No","No","Yes"
"murals","mural-festival-2017-montreal.html","Mural Festival, Montreal","","","2017","2017","Yes","No","No","No","Yes"
"murals","notacrime-2015.html","Not a Crime","","","2015","2015","Yes","No","No","No","Yes"
"murals","nuart-2012.html","Nuart","","","2012","2012","Yes","No","No","No","Yes"
"murals","one-wall-2017.html","One Wall","","","2017","2017","Yes","No","No","No","Yes"
"murals","plessy-school-new-orleans-2022.html","Plessy School, New Orleans","","","2022 (May 27)","2022 (May 27)","Yes","No","No","No","Yes"
"murals","powwow-hawaii-2013.html","POW! WOW! Hawaii","","","2013","2013","Yes","No","No","No","Yes"
"murals","primary-flight-2008.html","Primary Flight","","","2008","2008","Yes","No","No","No","Yes"
"murals","primary-flight-2010.html","Primary Flight","","","2010","2010","Yes","No","No","No","Yes"
"murals","proam-studio-city-7th-floor-2018.html","Proam, Studio City 7th Floor","","","2018","2018","Yes","No","No","No","Yes"
"murals","prophet-bar.html","Prophet Bar Mural, circa","Prophet Bar Mural","","âÃ¢â€š¬Ã¢â‚¬","âÃ¢â€š¬Ã¢â‚¬","Yes","Yes","No","Yes","Yes"
"murals","punk-pink-skunk-2021.html","Punk Pink Skunk","","","2021","2021","Yes","No","No","No","Yes"
"murals","reynosa-border-wall-2011.html","Reynosa Border Wall","","","2011","2011","Yes","No","No","No","Yes"
"murals","rxsm-spiderhouse-2015.html","RXSM, Spiderhouse","","","2015","2015","Yes","No","No","No","Yes"
"murals","spider-house-face-2015.html","Spider House Face","","","2015","2015","Yes","No","No","No","Yes"
"murals","stlouis-loop-mural-2024.html","St. Louis Loop Mural","","","2024 (May 31)","2024 (May 31)","Yes","No","No","No","Yes"
"murals","temper-tot-little-italy-2012.html","Temper Tot, Little Italy","","","2012","2012","Yes","No","No","No","Yes"
"murals","temper-tot-little-italy-2015.html","Temper Tot, Little Italy","","","2015","2015","Yes","No","No","No","Yes"
"murals","texas-tantrum-trots-and-pals.html","Texas Tantrum Trots and Pals","","","2022 (November)","2022 (November)","Yes","No","No","No","Yes"
"murals","trumpty-dumpty-2017.html","Trumpty Dumpty","","","2017","2017","Yes","No","No","No","Yes"
"murals","urban-bigfoot-2010.html","Urban Bigfoot","","","2010","2010","Yes","No","No","No","Yes"
"murals","victoria-2015.html","Victoria","","","2015 (March 18âÃ¢â€š¬Ã¢â‚¬Å“22)","2015 (March 18âÃ¢â€š¬Ã¢â‚¬Å“22)","Yes","No","No","No","Yes"
"murals","west-bank-2007.html","West Bank","","","2007","2007","Yes","No","No","No","Yes"
"murals","wynwood-2018.html","Wynwood","","","2018","2018","Yes","No","No","No","Yes"
"murals","wynwood-babyhulk-2010.html","Wynwood Babyhulk","","","2010","2010","Yes","No","No","No","Yes"
"murals","zelephant-south-haven-2014.html","Zelephant, South Haven","","","2014","2014","Yes","No","No","No","Yes"
